A039n_PN3a_00003-3	reltype=before	'変わり'	[JSP]大学病院の入院医療費の計算方法が、４月以降、大きく変わります。	['18']
A039n_PN3a_00003-5	reltype=before	'占める'	今度は病気ごとに１日の医療費が決められた「包括払い」がかなりの部分を占めることになります。	['24']
A039n_PN3a_00003-6	reltype=before	'迫ら'	これをきっかけに大学病院の医療も効率化を迫られ、一般病院にも影響が出る可能性があります。	['13']
A039n_PN3a_00003-6	reltype=before	'出る'	これをきっかけに大学病院の医療も効率化を迫られ、一般病院にも影響が出る可能性があります。	['22']
A039n_PN3a_00003-6	reltype=overlap	'あり'	これをきっかけに大学病院の医療も効率化を迫られ、一般病院にも影響が出る可能性があります。	['26']
A039n_PN3a_00003-7	reltype=after	'調べ'	新制度の仕組みを調べてみました。	['6']
A039n_PN3a_00003-14	reltype=before	'表記'	これが４月以降の大学病院では「包括料金」と「出来高料金」の２区分で表記されることになる。	['24']
A039n_PN3a_00003-15	reltype=before	'含ま'	[JSP]「包括」に含まれるのは、看護料や部屋代などに相当する入院基本料をはじめ、検査や投薬などの料金。	['6']
A039n_PN3a_00003-17	reltype=after	'沿っ'	病名は同じでも合併症の有無など病状によって治療費は違うので、病気の種類や治療法に沿って約２５００通りのパターンを設けた。	['29']
A039n_PN3a_00003-17	reltype=after	'設け'	病名は同じでも合併症の有無など病状によって治療費は違うので、病気の種類や治療法に沿って約２５００通りのパターンを設けた。	['40']
A039n_PN3a_00003-18	reltype=before	'導入'	今回は、このうち症例数が比較的多い１８６０通りの包括料金が導入される。	['21']
A039n_PN3a_00003-19	reltype=before	'計算'	[JSP]一方、医師の技術料に相当する手術料などは従来通り出来高方式で計算する。	['20']
A039n_PN3a_00003-20	reltype=before	'受け'	[JSP]例えば急性心筋梗塞で心臓カテーテルの手術を受け、２５日間入院した場合、包括部分の入院費は約７５万円になる＝表。	['12']
A039n_PN3a_00003-20	reltype=before	'なる'	[JSP]例えば急性心筋梗塞で心臓カテーテルの手術を受け、２５日間入院した場合、包括部分の入院費は約７５万円になる＝表。	['34']
A039n_PN3a_00003-21	reltype=before	'なる'	１日単価は入院期間が長くなるほど安くなるよう、３段階の設定になっている。	['9']
A039n_PN3a_00003-21	reltype=before	'なる'	１日単価は入院期間が長くなるほど安くなるよう、３段階の設定になっている。	['9']
A039n_PN3a_00003-22	reltype=before	'加わり'	これに手術代など出来高分が１８０万円加わり、医療費の合計は２５５万円。	['14']
A039n_PN3a_00003-23	reltype=before	'払う'	患者はこの１〜３割を払う（所得に応じて上限がある）。	['9']
A039n_PN3a_00003-27	reltype=after	'言え'	[JSP]患者にとって、大づかみに費用を理解しやすくなる、とは言えそうだ。	['18']
A039n_PN3a_00003-29	reltype=after	'受け'	ただ、これまでは検査や投薬など、自分が受けた医療行為の値段を請求書の明細欄で確認できたものが、包括料金に含まれて見えにくくなる。	['13']
A039n_PN3a_00003-29	reltype=before	'含ま'	ただ、これまでは検査や投薬など、自分が受けた医療行為の値段を請求書の明細欄で確認できたものが、包括料金に含まれて見えにくくなる。	['35']
A039n_PN3a_00003-29	reltype=before	'なる'	ただ、これまでは検査や投薬など、自分が受けた医療行為の値段を請求書の明細欄で確認できたものが、包括料金に含まれて見えにくくなる。	['40']
A039n_PN3a_00003-30	reltype=before	'診断'	[JSP]また、最初は軽い病気と診断されたのに、何カ月か入院するうちに重い病気と分かった場合、最初の月までさかのぼって重い病気に相当する医療費を精算払いしなければならなくなるなど、戸惑う例も出てきそうだ。	['9']
A039n_PN3a_00003-30	reltype=before	'入院'	[JSP]また、最初は軽い病気と診断されたのに、何カ月か入院するうちに重い病気と分かった場合、最初の月までさかのぼって重い病気に相当する医療費を精算払いしなければならなくなるなど、戸惑う例も出てきそうだ。	['19']
A039n_PN3a_00003-30	reltype=before	'分かっ'	[JSP]また、最初は軽い病気と診断されたのに、何カ月か入院するうちに重い病気と分かった場合、最初の月までさかのぼって重い病気に相当する医療費を精算払いしなければならなくなるなど、戸惑う例も出てきそうだ。	['26']
A039n_PN3a_00003-30	reltype=before	'さかのぼっ'	[JSP]また、最初は軽い病気と診断されたのに、何カ月か入院するうちに重い病気と分かった場合、最初の月までさかのぼって重い病気に相当する医療費を精算払いしなければならなくなるなど、戸惑う例も出てきそうだ。	['34']
A039n_PN3a_00003-30	reltype=before	'相当'	[JSP]また、最初は軽い病気と診断されたのに、何カ月か入院するうちに重い病気と分かった場合、最初の月までさかのぼって重い病気に相当する医療費を精算払いしなければならなくなるなど、戸惑う例も出てきそうだ。	['39']
A039n_PN3a_00003-30	reltype=before	'精算'	[JSP]また、最初は軽い病気と診断されたのに、何カ月か入院するうちに重い病気と分かった場合、最初の月までさかのぼって重い病気に相当する医療費を精算払いしなければならなくなるなど、戸惑う例も出てきそうだ。	['44']
A039n_PN3a_00003-30	reltype=before	'なる'	[JSP]また、最初は軽い病気と診断されたのに、何カ月か入院するうちに重い病気と分かった場合、最初の月までさかのぼって重い病気に相当する医療費を精算払いしなければならなくなるなど、戸惑う例も出てきそうだ。	['51']
A039n_PN3a_00003-30	reltype=before	'戸惑う'	[JSP]また、最初は軽い病気と診断されたのに、何カ月か入院するうちに重い病気と分かった場合、最初の月までさかのぼって重い病気に相当する医療費を精算払いしなければならなくなるなど、戸惑う例も出てきそうだ。	['54']
A039n_PN3a_00003-32	reltype=before	'入院'	急性心筋梗塞で心臓カテーテル手術（合併症なし、初回手術）、２５日入院した場合	['20']
A039n_PN3a_00003-33	reltype=before	'長引く'	※１日あたり包括料金は、病気・治療方法ごとに入院期間が長引くほど減算になる形で設定。	['18']
A039n_PN3a_00003-33	reltype=before	'なる'	※１日あたり包括料金は、病気・治療方法ごとに入院期間が長引くほど減算になる形で設定。	['22']
A039n_PN3a_00003-34	reltype=after	'し'	係数は病院ごとに異なり、上記例では１としたが、実際には０．９４〜１．１４程度の幅がある	['14']
A039n_PN3a_00003-36	reltype=before	'促す'	入院日数短縮を促す	['5']
A039n_PN3a_00003-41	reltype=after	'比べる'	病気の種類ごとに比べるとばらつきは一層目立ち、心臓バイパス手術の場合は平均１８日という病院がある一方、５７日の病院もある。	['6']
A039n_PN3a_00003-41	reltype=after	'目立ち'	病気の種類ごとに比べるとばらつきは一層目立ち、心臓バイパス手術の場合は平均１８日という病院がある一方、５７日の病院もある。	['11']
A039n_PN3a_00003-41	reltype=overlap	'ある'	病気の種類ごとに比べるとばらつきは一層目立ち、心臓バイパス手術の場合は平均１８日という病院がある一方、５７日の病院もある。	['27']
A039n_PN3a_00003-41	reltype=overlap	'ある'	病気の種類ごとに比べるとばらつきは一層目立ち、心臓バイパス手術の場合は平均１８日という病院がある一方、５７日の病院もある。	['27']
