A007n_PN3g_00001-1	reltype=before	'受ける'	国民審査受ける最高裁９裁判官	['3']
A007n_PN3g_00001-3	reltype=before	'実施'	[JSP]最高裁裁判官の国民審査が九日、衆院選投票と同時に実施される。	['19']
A007n_PN3g_00001-4	reltype=before	'受ける'	共同通信社は今回審査を受ける九人の裁判官にアンケートをした。	['8']
A007n_PN3g_00001-4	reltype=after	'し'	共同通信社は今回審査を受ける九人の裁判官にアンケートをした。	['17']
A007n_PN3g_00001-6	reltype=overlap	'検討'	検討されている課題は多いが、中でも裁判官と国民から選ばれた裁判員が協力し、刑事事件の審理、判決を行う裁判員制度の導入は、国民の司法参加の象徴ともいえ、大きな目玉の一つだ。	['1']
A007n_PN3g_00001-7	reltype=before	'実施'	[JSP]そこで１最高裁裁判官としての信条や審理に当たっての心構え２裁判員制度が実施された場合、裁判官と裁判員それぞれに期待することは何か。円滑に運営するための環境整備や不安を感じる点など制度全般への意見３制度を議論する過程で浮上している事件報道に関するメディア規制などをどう考えるか―の三点を質問した。	['26']
A007n_PN3g_00001-7	reltype=after	'期待'	[JSP]そこで１最高裁裁判官としての信条や審理に当たっての心構え２裁判員制度が実施された場合、裁判官と裁判員それぞれに期待することは何か。円滑に運営するための環境整備や不安を感じる点など制度全般への意見３制度を議論する過程で浮上している事件報道に関するメディア規制などをどう考えるか―の三点を質問した。	['39']
A007n_PN3g_00001-7	reltype=before	'運営'	[JSP]そこで１最高裁裁判官としての信条や審理に当たっての心構え２裁判員制度が実施された場合、裁判官と裁判員それぞれに期待することは何か。円滑に運営するための環境整備や不安を感じる点など制度全般への意見３制度を議論する過程で浮上している事件報道に関するメディア規制などをどう考えるか―の三点を質問した。	['48']
A007n_PN3g_00001-7	reltype=after	'議論'	[JSP]そこで１最高裁裁判官としての信条や審理に当たっての心構え２裁判員制度が実施された場合、裁判官と裁判員それぞれに期待することは何か。円滑に運営するための環境整備や不安を感じる点など制度全般への意見３制度を議論する過程で浮上している事件報道に関するメディア規制などをどう考えるか―の三点を質問した。	['68']
A007n_PN3g_00001-7	reltype=after	'浮上'	[JSP]そこで１最高裁裁判官としての信条や審理に当たっての心構え２裁判員制度が実施された場合、裁判官と裁判員それぞれに期待することは何か。円滑に運営するための環境整備や不安を感じる点など制度全般への意見３制度を議論する過程で浮上している事件報道に関するメディア規制などをどう考えるか―の三点を質問した。	['72']
A007n_PN3g_00001-7	reltype=after	'考える'	[JSP]そこで１最高裁裁判官としての信条や審理に当たっての心構え２裁判員制度が実施された場合、裁判官と裁判員それぞれに期待することは何か。円滑に運営するための環境整備や不安を感じる点など制度全般への意見３制度を議論する過程で浮上している事件報道に関するメディア規制などをどう考えるか―の三点を質問した。	['85']
A007n_PN3g_00001-7	reltype=after	'質問'	[JSP]そこで１最高裁裁判官としての信条や審理に当たっての心構え２裁判員制度が実施された場合、裁判官と裁判員それぞれに期待することは何か。円滑に運営するための環境整備や不安を感じる点など制度全般への意見３制度を議論する過程で浮上している事件報道に関するメディア規制などをどう考えるか―の三点を質問した。	['92']
A007n_PN3g_00001-12	reltype=after	'経'	東京高裁長官を経て０２年１１月最高裁判事。	['5']
A007n_PN3g_00001-15	reltype=overlap	'動い'	１[JSP]民主主義のシステムが正常に動いているかを監視、多数決原理で取り残されがちな少数者の権利を救済する司法の役割を果たす。	['10']
A007n_PN3g_00001-16	reltype=after	'感じ'	２[JSP]制度自体に不安は感じない。	['8']
A007n_PN3g_00001-18	reltype=overlap	'足り'	ただ事件増で裁判官も法廷も足りないという現実との調和が最も必要。	['10']
A007n_PN3g_00001-21	reltype=after	'判断'	[JSP]婚外子の遺産相続分を嫡出子の半分とする民法の規定を合憲と判断した判決（第一小法廷、０３年３月）で反対意見。	['21']
A007n_PN3g_00001-22	reltype=after	'し'	テレビ朝日のダイオキシン報道に対し真実性の証明を不十分とした判決（０３年１０月）で「報道の全体的な意義を評価することに変わりない」と補足意見。	['16']
A007n_PN3g_00001-22	reltype=after	'評価'	テレビ朝日のダイオキシン報道に対し真実性の証明を不十分とした判決（０３年１０月）で「報道の全体的な意義を評価することに変わりない」と補足意見。	['36']
A007n_PN3g_00001-22	reltype=after	'ない'	テレビ朝日のダイオキシン報道に対し真実性の証明を不十分とした判決（０３年１０月）で「報道の全体的な意義を評価することに変わりない」と補足意見。	['41']
A007n_PN3g_00001-26	reltype=after	'経'	広島、大阪各高裁長官を経て０２年２月最高裁判事。	['8']
A007n_PN3g_00001-30	reltype=overlap	'傾け'	当事者の声に耳を傾け、最高裁として取り上げるべきかを冷静、公正、迅速に叡智と勇気をもって判断していく。	['8']
A007n_PN3g_00001-30	reltype=overlap	'判断'	当事者の声に耳を傾け、最高裁として取り上げるべきかを冷静、公正、迅速に叡智と勇気をもって判断していく。	['31']
A007n_PN3g_00001-31	reltype=before	'合わせ'	２[JSP]互いに力を合わせ、適正、迅速な刑事裁判の実現に努めてほしい。	['7']
A007n_PN3g_00001-32	reltype=before	'なる'	制度は裁判員になる人に大きな負担をかけるが、その負担を受け入れてもらえるかどうかはいささか不安だ。	['6']
A007n_PN3g_00001-32	reltype=before	'かける'	制度は裁判員になる人に大きな負担をかけるが、その負担を受け入れてもらえるかどうかはいささか不安だ。	['12']
