A035n_PN1e_00003-4	reltype=after	'行っ'	[JSP]熊本県内で１７競技を行った。	['10']
A035n_PN1e_00003-5	reltype=after	'入っ'	陸上の男子百メートルで高平慎士（旭大高）が１０秒６６で３位に入ったほか、男子ハンマー投げの野口裕史（函工）が５位、女子百メートルの北風沙織（恵庭北）が７位に食い込んだ。	['23']
A035n_PN1e_00003-5	reltype=after	'食い込ん'	陸上の男子百メートルで高平慎士（旭大高）が１０秒６６で３位に入ったほか、男子ハンマー投げの野口裕史（函工）が５位、女子百メートルの北風沙織（恵庭北）が７位に食い込んだ。	['54']
A035n_PN1e_00003-6	reltype=after	'制し'	新種目の女子千五百メートルは池田恵美（京都・立命館宇治）が４分１６秒７４の高校新記録で制した。	['31']
A035n_PN1e_00003-8	reltype=after	'進ん'	バスケットボールは男子の東海大四、女子の札山の手がともに３回戦に進んだ。	['20']
A035n_PN1e_00003-10	reltype=after	'進出'	弓道は男子団体の斜里が決勝トーナメント２回戦に進出したが、女子個人の今橋美那子（岩西）は準決勝で落選した。	['14']
A035n_PN1e_00003-10	reltype=after	'落選'	弓道は男子団体の斜里が決勝トーナメント２回戦に進出したが、女子個人の今橋美那子（岩西）は準決勝で落選した。	['31']
A035n_PN1e_00003-16	reltype=after	'走っ'	「普通に走って」本人びっくり[JSP]高平	['4']
A035n_PN1e_00003-17	reltype=after	'上がっ'	[JSP]ゴール直前で、か細い選手がぐいぐい前に上がってきた。	['12']
A035n_PN1e_00003-17	reltype=after	'き'	[JSP]ゴール直前で、か細い選手がぐいぐい前に上がってきた。	['14']
A035n_PN1e_00003-18	reltype=after	'入っ'	出場者ランキングの２０位にも入っていなかった２年生・高平慎士が、晴れの舞台で堂々と高校３傑入り。	['10']
A035n_PN1e_00003-19	reltype=after	'驚い'	本人も驚いたようで、電光掲示板に順位がともると「うそ？」と目を丸くした。	['3']
A035n_PN1e_00003-19	reltype=after	'ともる'	本人も驚いたようで、電光掲示板に順位がともると「うそ？」と目を丸くした。	['14']
A035n_PN1e_00003-19	reltype=after	'し'	本人も驚いたようで、電光掲示板に順位がともると「うそ？」と目を丸くした。	['24']
A035n_PN1e_00003-22	reltype=after	'あっ'	今季の全道覇者とはいえ、大会前の自己ベストは１０秒７２とトップ選手との開きは約０・３秒もあった。	['33']
A035n_PN1e_00003-24	reltype=after	'覆し'	[JSP]周囲の予想を覆したのは、ここぞという場面の集中力か。	['6']
A035n_PN1e_00003-25	reltype=after	'狙える'	ハードルも得意とするが、「上を狙える方に」と全道大会後、百メートル１本に絞って練習。	['11']
A035n_PN1e_00003-25	reltype=after	'絞っ'	ハードルも得意とするが、「上を狙える方に」と全道大会後、百メートル１本に絞って練習。	['25']
A035n_PN1e_00003-26	reltype=after	'トップ'	予選で追い風参考ながら１０秒５３でトップ通過して「気分が楽に」なり、決勝は「普通に走って普通に終わった」。	['12']
A035n_PN1e_00003-26	reltype=after	'なり'	予選で追い風参考ながら１０秒５３でトップ通過して「気分が楽に」なり、決勝は「普通に走って普通に終わった」。	['22']
A035n_PN1e_00003-26	reltype=after	'走っ'	予選で追い風参考ながら１０秒５３でトップ通過して「気分が楽に」なり、決勝は「普通に走って普通に終わった」。	['29']
A035n_PN1e_00003-26	reltype=after	'終わっ'	予選で追い風参考ながら１０秒５３でトップ通過して「気分が楽に」なり、決勝は「普通に走って普通に終わった」。	['33']
A035n_PN1e_00003-28	reltype=after	'入っ'	中学３年の全国中学百十メートル障害で４位に入った力を持ち、百メートルはスピードをつけるための通過点という。	['15']
