A035n_PN1e_00003-4	reltype=after	['行っ']	[JSP]熊本県内で１７競技を行った。	['10']
A035n_PN1e_00003-5	reltype=after	['入っ', 'ほか', '位', '位', '食い込ん']	陸上の男子百メートルで高平慎士（旭大高）が１０秒６６で３位に入ったほか、男子ハンマー投げの野口裕史（函工）が５位、女子百メートルの北風沙織（恵庭北）が７位に食い込んだ。	['21', '23', '25', '38', '52']
A035n_PN1e_00003-5	reltype=after	['食い込ん']	陸上の男子百メートルで高平慎士（旭大高）が１０秒６６で３位に入ったほか、男子ハンマー投げの野口裕史（函工）が５位、女子百メートルの北風沙織（恵庭北）が７位に食い込んだ。	['54']
A035n_PN1e_00003-6	reltype=after	['制し']	新種目の女子千五百メートルは池田恵美（京都・立命館宇治）が４分１６秒７４の高校新記録で制した。	['31']
A035n_PN1e_00003-8	reltype=after	['進ん']	バスケットボールは男子の東海大四、女子の札山の手がともに３回戦に進んだ。	['20']
A035n_PN1e_00003-10	reltype=after	['進出', 'し', 'し']	弓道は男子団体の斜里が決勝トーナメント２回戦に進出したが、女子個人の今橋美那子（岩西）は準決勝で落選した。	['14', '15', '32']
A035n_PN1e_00003-10	reltype=after	['落選', 'し']	弓道は男子団体の斜里が決勝トーナメント２回戦に進出したが、女子個人の今橋美那子（岩西）は準決勝で落選した。	['15', '31']
A035n_PN1e_00003-16	reltype=after	['走っ', 'びっくり', '高平']	「普通に走って」本人びっくり[JSP]高平	['4', '8', '10']
A035n_PN1e_00003-17	reltype=after	['上がっ', 'き']	[JSP]ゴール直前で、か細い選手がぐいぐい前に上がってきた。	['12', '14']
A035n_PN1e_00003-17	reltype=after	['き']	[JSP]ゴール直前で、か細い選手がぐいぐい前に上がってきた。	['14']
A035n_PN1e_00003-18	reltype=after	['入っ', '慎士', '入り']	出場者ランキングの２０位にも入っていなかった２年生・高平慎士が、晴れの舞台で堂々と高校３傑入り。	['10', '20', '32']
A035n_PN1e_00003-19	reltype=after	['驚い', 'し']	本人も驚いたようで、電光掲示板に順位がともると「うそ？」と目を丸くした。	['3', '24']
A035n_PN1e_00003-19	reltype=after	['ともる', 'し']	本人も驚いたようで、電光掲示板に順位がともると「うそ？」と目を丸くした。	['14', '24']
A035n_PN1e_00003-19	reltype=after	['し']	本人も驚いたようで、電光掲示板に順位がともると「うそ？」と目を丸くした。	['24']
A035n_PN1e_00003-22	reltype=after	['あっ']	今季の全道覇者とはいえ、大会前の自己ベストは１０秒７２とトップ選手との開きは約０・３秒もあった。	['33']
A035n_PN1e_00003-24	reltype=after	['覆し', '力']	[JSP]周囲の予想を覆したのは、ここぞという場面の集中力か。	['6', '18']
A035n_PN1e_00003-25	reltype=after	['狙える', '方', '後', '絞っ', '練習']	ハードルも得意とするが、「上を狙える方に」と全道大会後、百メートル１本に絞って練習。	['11', '12', '18', '25', '27']
A035n_PN1e_00003-25	reltype=after	['絞っ', '練習']	ハードルも得意とするが、「上を狙える方に」と全道大会後、百メートル１本に絞って練習。	['25', '27']
A035n_PN1e_00003-26	reltype=after	['トップ', 'し', 'なり', '終わっ']	予選で追い風参考ながら１０秒５３でトップ通過して「気分が楽に」なり、決勝は「普通に走って普通に終わった」。	['12', '14', '22', '33']
A035n_PN1e_00003-26	reltype=after	['なり', '終わっ']	予選で追い風参考ながら１０秒５３でトップ通過して「気分が楽に」なり、決勝は「普通に走って普通に終わった」。	['22', '33']
A035n_PN1e_00003-26	reltype=after	['走っ', '終わっ']	予選で追い風参考ながら１０秒５３でトップ通過して「気分が楽に」なり、決勝は「普通に走って普通に終わった」。	['29', '33']
A035n_PN1e_00003-26	reltype=after	['終わっ']	予選で追い風参考ながら１０秒５３でトップ通過して「気分が楽に」なり、決勝は「普通に走って普通に終わった」。	['33']
A035n_PN1e_00003-28	reltype=after	['入っ', '力', '持ち', '点', 'いう']	中学３年の全国中学百十メートル障害で４位に入った力を持ち、百メートルはスピードをつけるための通過点という。	['15', '17', '19', '30', '32']
A035n_PN1e_00003-28	reltype=after	['いう']	中学３年の全国中学百十メートル障害で４位に入った力を持ち、百メートルはスピードをつけるための通過点という。	['32']
A035n_PN1e_00003-29	reltype=after	['出し', '結果']	[JSP]しかし、その通過点で出した見事な結果。	['8', '12']
A035n_PN1e_00003-33	reltype=after	['健闘', 'し', '慎士']	男子百メートルで３位と健闘した高平慎士	['8', '9', '12']
A035n_PN1e_00003-35	reltype=after	['上回る', '８', 'し', '入っ', '写真', '表情']	[JSP]男子ハンマー投げで自己ベストを１６センチ上回る５８メートル４８を記録し、５位に入った野口＝写真＝だが「全然ダメ。前半に５８メートル台が出て力みすぎた」と浮かない表情。	['12', '14', '17', '20', '25', '29']
