A001n_PN1c_00001-5	reltype=after	'留学'	９５―９７年、中国・北京大に留学し、帰国後に双子を出産。	['13']
A001n_PN1c_00001-8	reltype=after	'通っ'	[JSP]幼稚園から大学まで通った青山学院では、とにかく活発で、目立つ生徒だったという。	['7']
A001n_PN1c_00001-9	reltype=after	'乗っ'	高等部では自由な校風もあって、流行に乗ってかばんを薄くつぶしたり、ピアスをしたり。	['14']
A001n_PN1c_00001-9	reltype=after	'つぶし'	高等部では自由な校風もあって、流行に乗ってかばんを薄くつぶしたり、ピアスをしたり。	['19']
A001n_PN1c_00001-9	reltype=after	'し'	高等部では自由な校風もあって、流行に乗ってかばんを薄くつぶしたり、ピアスをしたり。	['24']
A001n_PN1c_00001-10	reltype=after	'呼び出し'	呼び出して注意する先生もいたが、二、三年時に担任だった池田弘子先生（７５）は違った。	['1']
A001n_PN1c_00001-10	reltype=after	'注意'	呼び出して注意する先生もいたが、二、三年時に担任だった池田弘子先生（７５）は違った。	['3']
A001n_PN1c_00001-10	reltype=after	'い'	呼び出して注意する先生もいたが、二、三年時に担任だった池田弘子先生（７５）は違った。	['7']
A001n_PN1c_00001-10	reltype=after	'違っ'	呼び出して注意する先生もいたが、二、三年時に担任だった池田弘子先生（７５）は違った。	['28']
A001n_PN1c_00001-11	reltype=after	'はずし'	「そんな薄いかばんじゃ遊び道具も入らないよ」「体育や部活では、危ないからピアスをはずしたほうがいい」。	['24']
A001n_PN1c_00001-12	reltype=after	'語りかける'	やんわり語りかける。	['2']
A001n_PN1c_00001-13	reltype=after	'立っ'	「頭ごなしでなく、子どもの目線に立って、聞く耳を持たせてくれるんですよね」	['10']
A001n_PN1c_00001-13	reltype=after	'持た'	「頭ごなしでなく、子どもの目線に立って、聞く耳を持たせてくれるんですよね」	['16']
A001n_PN1c_00001-15	reltype=after	'取り上げ'	障害や難病に苦しむ人の話をよく取り上げ、生徒同士で討論させた。	['11']
A001n_PN1c_00001-15	reltype=after	'討論'	障害や難病に苦しむ人の話をよく取り上げ、生徒同士で討論させた。	['16']
A001n_PN1c_00001-16	reltype=after	'わかっ'	「世の中には様々な人がいるということが、よくわかった。	['16']
A001n_PN1c_00001-17	reltype=after	'聞い'	ホスピスという言葉を初めて聞いたのもこの授業でした」	['7']
A001n_PN1c_00001-18	reltype=after	'教え'	[JSP]台湾人の父を持ち、「家で自己主張するよう教えられていた」蓮舫さんは、いつも率先して自分の意見を言った。	['16']
A001n_PN1c_00001-18	reltype=after	'率先'	[JSP]台湾人の父を持ち、「家で自己主張するよう教えられていた」蓮舫さんは、いつも率先して自分の意見を言った。	['28']
A001n_PN1c_00001-18	reltype=after	'言っ'	[JSP]台湾人の父を持ち、「家で自己主張するよう教えられていた」蓮舫さんは、いつも率先して自分の意見を言った。	['35']
A001n_PN1c_00001-19	reltype=after	'違っ'	「どこかみんなとは違っていたのかもしれない」。	['7']
A001n_PN1c_00001-20	reltype=after	'張ら'	ほかの先生たちには、「おしゃべり」のレッテルを張られていた。	['15']
A001n_PN1c_00001-21	reltype=after	'言っ'	[JSP]それなのに、池田先生は言ってくれたのだ。	['10']
A001n_PN1c_00001-22	reltype=after	'生かし'	「しゃべるのが得意なんだから、能力を生かしてみたら」と、初めて「おしゃべり」を評価してくれた。	['13']
A001n_PN1c_00001-22	reltype=after	'評価'	「しゃべるのが得意なんだから、能力を生かしてみたら」と、初めて「おしゃべり」を評価してくれた。	['26']
A001n_PN1c_00001-23	reltype=overlap	'話す'	ブラウン管の中で話すなんて、思ってもみないころだった。	['6']
A001n_PN1c_00001-23	reltype=after	'思っ'	ブラウン管の中で話すなんて、思ってもみないころだった。	['9']
A001n_PN1c_00001-24	reltype=after	'進学'	[JSP]大学に進学する時も、「あなたは論理的に考えるのが得意」と、法学部に行くよう促したのは池田先生。	['4']
